age,job,education,housing,loan,winter,spring,summer,autumn,contact,anxiety,duration,campaign,pdays,previous,emp_var_rate,cons_price_idx,cons_conf_idx,nr_employed,euribor3m,divorced,married,single,subscribed?
30,0,2,True,False,0,1,0,0,cellular,4,487.0,2.0,False,False,-1.8,92.893,-46.2,5099.1,1.313,0,1,0,False
39,1,3,False,False,0,1,0,0,telephone,4,346.0,4.0,False,False,1.1,93.994,-36.4,5191.0,4.855,0,0,1,False
25,1,3,True,False,0,0,1,0,telephone,2,227.0,1.0,False,False,1.4,94.465,-41.8,5228.1,4.962,0,1,0,False
47,2,5,True,False,1,0,0,0,cellular,0,58.0,1.0,False,False,-0.1,93.2,-42.0,5195.8,4.191,0,1,0,False
32,1,5,False,False,0,0,0,1,cellular,3,128.0,3.0,False,True,-1.1,94.199,-37.5,4963.6,0.884,0,0,1,False
32,2,5,True,False,0,0,0,1,cellular,0,290.0,4.0,False,False,-1.1,94.199,-37.5,4963.6,0.879,0,0,1,False
41,2,5,True,False,1,0,0,0,cellular,0,44.0,2.0,False,False,-0.1,93.2,-42.0,5195.8,4.191,0,1,0,False
31,1,4,False,False,1,0,0,0,cellular,1,68.0,1.0,False,True,-0.1,93.2,-42.0,5195.8,4.153,1,0,0,False
35,0,2,False,False,0,1,0,0,telephone,3,256.9744773942635,1.0,False,False,1.1,93.994,-36.4,5191.0,4.855,0,1,0,False
25,1,1,True,False,0,0,1,0,cellular,3,301.0,1.0,False,False,1.4,93.918,-42.7,5228.1,4.958,0,0,1,False
36,1,0,False,False,0,0,1,0,cellular,3,148.0,1.0,False,False,1.4,93.918,-42.7,5228.1,4.968,0,0,1,False
36,2,3,False,False,0,1,0,0,telephone,2,97.0,2.0,False,False,1.1,93.994,-36.4,5191.0,4.859,0,1,0,False
47,0,0,True,False,0,0,1,0,telephone,3,211.0,2.0,False,False,1.4,94.465,-41.8,5228.1,4.958,0,1,0,False
29,2,3,False,False,0,1,0,0,cellular,4,553.0,2.0,False,False,-1.8,92.893,-46.2,5099.1,1.313,0,0,1,False
27,1,5,False,False,0,0,1,0,cellular,2,698.0,2.0,False,False,1.4,93.918,-42.7,5228.1,4.963,0,0,1,False
44,2,5,False,False,0,0,1,0,cellular,2,191.0,6.0,False,False,1.4,93.918,-42.7,5228.1,4.957,1,0,0,False
46,2,5,True,False,0,0,1,0,telephone,0,59.0,4.0,False,False,1.4,93.918,-42.7,5228.1,4.962,1,0,0,False
45,2,5,True,True,0,0,1,0,cellular,0,38.0,2.0,False,False,1.4,93.444,-36.1,5228.1,4.965,0,1,0,False
50,0,0,False,True,0,0,1,0,cellular,1,849.0,1.0,False,False,1.4,93.918,-42.7,5228.1,4.961,0,1,0,True
55,1,1,True,False,0,0,1,0,cellular,1,326.0,6.0,False,False,1.4,93.918,-42.7,5228.1,4.962,0,1,0,False
39,1,3,False,False,0,1,0,0,cellular,0,222.0,1.0,True,True,-1.8,93.369,-34.8,5008.7,0.639,1,0,0,True
29,1,5,True,True,0,0,1,0,cellular,2,626.0,3.0,False,False,1.4,93.444,-36.1,5228.1,4.967,0,0,1,False
40,2,3,False,True,0,0,1,0,cellular,2,119.0,1.0,False,False,1.4,93.444,-36.1,5228.1,4.965,0,1,0,False
44,1,4,True,False,0,1,0,0,telephone,4,388.0,7.0,False,False,1.1,93.994,-36.4,5191.0,4.864,0,1,0,False
